,when,timestamp,tweet,length,time_s
0,2017-01-01 23:56:40,1483311400,"Jak Kryszak ""dowcipkowal"" w TVP, ze ""Kaczynski robi te rzeczy z wlasna matka"", Czerska byla zachwycona.",103,82600
1,2017-01-01 23:37:04,1483310224,w 2017 roku chcia³abym zdaæ maturê i ¿eby matka wojtka przesta³a mnie wkurwiaæ,78,81424
2,2017-01-01 23:25:44,1483309544,"telepie mn¹ na prawo i lewo od dwóch godzin, a matka siê dodatkowo na mnie drze XDDDDDDDDDDDD",93,80744
3,2017-01-01 23:22:15,1483309335,"You know that I'm a man and you're a man 
Czy jego matka upuœci³a na g³owê jak by³ ma³y czy to wrodzone",103,80535
4,2017-01-01 23:16:22,1483308982,Wyjecha³o kuzynostwo wyjecha³a moja matka... reszta ¿yje w ten czy inny sposób z kontrabandy... @Buntownik @PolskaPolicja,121,80182
5,2017-01-01 23:12:17,1483308737,proszê najpierw zadbaæ o siebie.Koszmarnie pani wyglada.Jak matka tuzina dzieci.,80,79937
6,2017-01-01 22:58:04,1483307884,"Niestety, w naszym kraju jest tak, ¿e alkoholik otrzyma wiêksz¹ pomoc ani¿eli matka samotnie wychowuj¹ca dzieci.... http://fb.me/8nW6ZjD9t ",139,79084
7,2017-01-01 22:58:02,1483307882,"Niestety, w naszym kraju jest tak, ¿e alkoholik otrzyma wiêksz¹ pomoc ani¿eli matka samotnie wy... http://www.jak-mama.pl/1/post/2017/01/nasz-nowy-rok-czyli-jakiej-pomocy-samotne-matki-naprawde-oczekuja-od-panstwa.html … via @weebly",232,79082
8,2017-01-01 22:45:58,1483307158,"czekam, az stukne 18, a matka nadal bedzie sie mn czepiac, ze ide spac po polnocy kiedy na nastepny dzien szkola, kocham",120,78358
9,2017-01-01 22:41:00,1483306860,"matka najpierw nie pozwoli³a mi ogl¹daæ telewizji w pokoju, bo ona tam jest, a potem posz³a spaæ 
dlaczego mnie nienawidzisz",124,78060
10,2017-01-01 22:37:32,1483306652,jakie dzieci narazie to my tylko psy mamy  jestem za m³oda ¿eby byæ matka,73,77852
11,2017-01-01 22:34:20,1483306460,"chcia³am sobie obejrzeæ sherlocka w tv, ale matka mnie wygoni³a z pokoju, bo ona nie chce patrzeæ na moje g³upie seriale",120,77660
12,2017-01-01 22:31:54,1483306314,i pañstwo nie p³aci³o nic bo to by³y dzieci spokrewnione z nami..tylko renta po 250z³(matka zmar³a m³odo..tyle wypracowa³a),123,77514
13,2017-01-01 22:19:31,1483305571,"Skoro matka trzyma dziecko za rêkê, to znaczy, ze jest z nim w zwi¹zku? https://twitter.com/virtualbaes/status/815650767407378432 …",131,76771
14,2017-01-01 22:19:10,1483305550,wkurwia mnie matka stilesa,26,76750
15,2017-01-01 22:18:43,1483305523,oesu rodzice tak sie zajarali nowym kompem ze zapomnieli o dziecku i zostawili je pod sklepem. to ja jesli kiedykolwiek bylabym matka,133,76723
16,2017-01-01 22:13:52,1483305232,jak wychowywaliœmy 2 sieroty(matka im zmar³a) ich ojciec pozbawiony praw bo pijak i leser..za to bezkarnie unika³ alimentów,123,76432
17,2017-01-01 22:13:18,1483305198,"Jego matka nawet nie wie w jakim towarzystwie sie bawi.

Lepiej zeby mi nie podpadl.",84,76398
18,2017-01-01 21:49:42,1483303782,"Matka Kurka: Nigdy nie by³o tak dobrego roku dla Ojczyzny | Fronda.pl http://www.fronda.pl/a/matka-kurka-nigdy-nie-bylo-tak-dobrego-roku-dla-ojczyzny,84825.html …",162,74982
19,2017-01-01 21:25:54,1483302354,bardzo opiekuncza i kochana matka z niej :)))))))))) #Sherlock,62,73554
20,2017-01-01 21:21:00,1483302060,"Nie wiem jak¹ trzeba byæ osob¹, ¿eby zaraz po tym jak matka Twojego ch³opaka umrze na sylwestrze ca³owaæ siê z jak¹œ inn¹ dziewczyn¹",132,73260
21,2017-01-01 21:13:57,1483301637,"Siedzia³am sobie w ³azience i ca³y czas puszczalam jedna piosenka pa³zuje ,s³yszê jak w pokoju matka mówi czy ta piosenkakiesys siê skonczy",139,72837
22,2017-01-01 21:11:18,1483301478,no to matka ¿egnam siê z tob¹ po kilku wspania³ych latach.,58,72678
23,2017-01-01 21:05:00,1483301100,marvela i przysiegam czulam sie jak dumna matka naprawde ale nie pamietam czy skonczyl bo starosc nie radosc pamiec juz nie taka jak koedys.,140,72300
24,2017-01-01 21:04:29,1483301069,pewnie twoja matka,18,72269
25,2017-01-01 21:03:40,1483301020,"Ka¿da matka ma prawo decydowaæ o tym czy chce pracowaæ czy wychowywaæ dziecko! Ponad to, powinien byæ 3-letni urlop macierzyñski #BezRetuszu",140,72220
26,2017-01-01 21:00:45,1483300845,"Arek, serio, matka, ojciec, KTOKOLWIEK? Ona mnie inaczej nie puœci",66,72045
27,2017-01-01 20:47:53,1483300073,"Mam dosc niech matka zap³aci za Internet, bo ¿yæ nir moge",57,71273
28,2017-01-01 20:47:47,1483300067,Matka Rondy Rousey apeluje do hejterów: Przede wszystkim znam j¹ lepiej ni¿ Wy... http://mma.pl/matka-rondy-rousey-apeluje-do-hejterow-przede-wszystkim-znam-ja-lepiej-niz-wy/ … przez @mmapl,189,71267
29,2017-01-01 20:44:42,1483299882,Ale matka pewnie mi nie pozwoli ha,34,71082
30,2017-01-01 20:43:50,1483299830,"Oprócz tego moja matka upiera siê, ¿e ktoœ doros³y musi przyklepaæ to, ¿e u was jestem XDDD",91,71030
